text,label
请问这个订单什么时候发货,consult
我想了解一下会员权益和活动规则,consult
门店今天营业到几点,consult
这个商品还有库存吗,consult
物流停了三天请帮我查一下,consult
客服一直不回复我要投诉,complaint
服务态度太差了我非常生气,complaint
排队很久没人处理我要反馈,complaint
这次体验很糟糕我不满意,complaint
商品质量有问题我要投诉商家,complaint
我想申请退款,refund
订单取消后钱什么时候退回,refund
我要退货退款怎么处理,refund
多扣费了请帮我退款,refund
没有收到货想要赔付,refund
页面报错打不开,repair
设备坏了需要维修,repair
上传截图显示系统故障,repair
软件一直闪退怎么修复,repair
支付失败提示网络异常,repair
我不会操作这个功能,howto
在哪里修改收货地址,howto
怎么绑定银行卡,howto
请告诉我申请售后的步骤,howto
按钮找不到需要你教我,howto
优惠券在哪里查看,consult
我对处理结果不满意要求升级,complaint
退款一直没到账,refund
小程序加载失败显示白屏,repair
怎么开发票我找不到入口,howto
